[[<Time tt=2459740.5096780555>, 46.96324929593999],
 [<Time tt=2459740.5096896295>, 38.58809721595823],
 [<Time tt=2459740.5097012036>, 31.179019089184052],
 [<Time tt=2459740.5097127776>, 25.589325671791485],
 [<Time tt=2459740.509724352>, 23.17508895952765],
 [<Time tt=2459740.509735926>, 24.878519294921425],
 [<Time tt=2459740.5097475>, 30.006284381977565],
 [<Time tt=2459740.509759074>, 37.16704267335656],
 [<Time tt=2459740.509770648>, 45.40893471082166],
 [<Time tt=2459754.352907222>, 46.46063336211765],
 [<Time tt=2459754.3529187962>, 34.44028105945617],
 [<Time tt=2459754.3529303703>, 23.86010720275963],
 [<Time tt=2459754.3529419443>, 17.552965727142126],
 [<Time tt=2459754.3529535187>, 20.063383773183677],
 [<Time tt=2459754.3529650928>, 29.199376641450172],
 [<Time tt=2459754.3529766668>, 40.722226560373116],
 [<Time tt=2459755.9357891665>, 43.25310570555829],
 [<Time tt=2459755.935800741>, 34.85389852699496],
 [<Time tt=2459755.935812315>, 30.28207718266169],
 [<Time tt=2459755.935823889>, 31.264365694156325],
 [<Time tt=2459755.935835463>, 37.36526104572014],
 [<Time tt=2459755.935847037>, 46.616627586652584]]

